	ORDO-ID	Concept	Mapped_Term	SNOMED_ID	SNOMED_Term	Score
52	313772	Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome	AFG3L2-related spastic ataxia-myoclonic epilepsy-neuropathy syndrome	771469002	AFG3L2-related spastic ataxia, myoclonic epilepsy, neuropathy syndrome	100
53	330029	Hypotrichosis-deafness syndrome	Hypotrichosis-deafness syndrome	783555001	Hypotrichosis and deafness syndrome	94
55	99642	Spondyloepimetaphyseal dysplasia, Handigodu type	Spondyloepimetaphyseal dysplasia, Handigodu type	763885008	Spondyloepimetaphyseal dysplasia Handigodu type	100
65	444138	Peeling skin-leukonychia-acral punctate keratoses-cheilitis-knuckle pads syndrome	PLACK syndrome	771186004	PARC syndrome	89
66	46532	Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome	Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome	16964007	Hereditary persistence of fetal hemoglobin thalassemia	89
68	263662	Familial multiple meningioma	Familial multiple meningioma	765202001	Familial multiple benign meningioma	89
73	397946	Autosomal spastic paraplegia type 58	Autosomal spastic paraplegia type 58	782727008	Autosomal spastic paraplegia type 72	94
75	453521	Autosomal recessive cerebellar ataxia due to CWF19L1 deficiency	Spinocerebellar ataxia autosomal recessive type 17	785301002	Autosomal recessive spinocerebellar ataxia type 7	99
76	90038	Typical hemolytic-uremic syndrome	Typical hemolytic-uremic syndrome	111407006	Hemolytic uremic syndrome	86
79	370997	Muscle-eye-brain disease with bilateral multicystic leucodystrophy	Muscle-eye-brain disease with bilateral multicystic leucodystrophy	785298001	Muscle eye brain disease with bilateral multicystic leucodystrophy	100
80	443073	Charcot-Marie-Tooth disease type 2S	Charcot-Marie-Tooth disease type 2S	398187000	Charcot Marie Tooth disease, type 2	99
87	422	Idiopathic and/or familial pulmonary arterial hypertension	Idiopathic and/or familial pulmonary arterial hypertension	697898008	Idiopathic pulmonary arterial hypertension	84
89	370052	SCALP syndrome	Sebaceous nevus-central nervous system malformations-aplasia cutis congenital-limbal dermoid-pigmented nevus syndrome	774208009	Sebaceous nevus, central nervous system malformations, aplasia cutis congenita, limbal dermoid, pigmented nevus syndrome	100
91	369992	Severe dermatitis-multiple allergies-metabolic wasting syndrome	Congenital erythroderma-hypotrichosis-recurrent infections-multiple food allergies syndrome	774211005	Congenital erythroderma, hypotrichosis, recurrent infections, multiple food allergies syndrome	100
92	280356	PLIN1-related familial partial lipodystrophy	PLIN1-related familial partial lipodystrophy	783616005	PLIN1-related familial partial lipodystrophy	100
93	171436	Typical nemaline myopathy	Typical nemaline myopathy	75072002	Nemaline myopathy	81
94	210133	Leukonychia totalis-acanthosis-nigricans-like lesions-abnormal hair syndrome	Leukonychia totalis-acanthosis-nigricans-like lesions-abnormal hair syndrome	773700005	Leukonychia totalis, acanthosis-nigricans-like lesions, abnormal hair syndrome	100
95	89842	Recessive dystrophic epidermolysis bullosa, generalized intermediate	Recessive dystrophic epidermolysis bullosa, non-Hallopeau-Siemens type	725407006	Recessive dystrophic epidermolysis bullosa non-Hallopeau Siemens type	100
99	466722	Autosomal recessive spastic paraplegia type 77	Autosomal recessive spastic paraplegia type 77	766767001	Autosomal recessive spastic paraplegia type 67	98
100	209989	Non-papillary transitional cell carcinoma of the bladder	Non-papillary transitional cell carcinoma of the bladder	255109008	TCC - Transitional cell carcinoma of bladder	82
106	319569	Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency	Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial interferon gamma receptor 1 deficiency	725431001	Autosomal recessive mendelian susceptibility to mycobacterial disease due to partial interferon gamma receptor 1 deficiency	100
116	210163	Congenital lethal myopathy, Compton-North type	Congenital lethal myopathy, Compton-North type	773306002	Congenital lethal myopathy Compton North type	100
124	412057	Autosomal recessive cerebellar ataxia due to STUB1 deficiency	Spinocerebellar ataxia autosomal recessive type 16	782719004	Spinocerebellar ataxia autosomal recessive type 16	100
125	199329	Congenital myopathy, Paradas type	Congenital myopathy, Paradas type	725420009	Congenital myopathy Paradas type	100
126	363649	Mandibular hypoplasia-deafness-progeroid features-lipodystrophy syndrome	Mandibular hypoplasia-hearing loss-progeroid syndrome	773406003	Mandibular hypoplasia, hearing loss, progeroid syndrome	100
137	225154	Familial infantile bilateral striatal necrosis	Familial infantile striatonigral degeneration	718174008	Infantile striatonigral degeneration	89
141	87884	Non-syndromic genetic deafness	Non-syndromic genetic deafness	764098007	Prelingual non-syndromic genetic deafness	85
147	420485	Cranio-cervical dystonia with laryngeal and upper-limb involvement	Dystonia 24	783179009	Dystonia 24	100
149	86918	Diffuse palmoplantar keratoderma-acrocyanosis syndrome	Diffuse palmoplantar keratoderma-acrocyanosis syndrome	721096008	Diffuse palmoplantar keratoderma and acrocyanosis syndrome	96
150	99878	Primary parathyroid hyperplasia	Familial parathyroids hyperplasia	237653008	Familial hyperparathyroidism	85
151	875	Primary pediatric heart tumor	Heart tumor of child	716661006	Heart tumor of childhood	91
158	432	Normosmic congenital hypogonadotropic hypogonadism	Gonadotropic deficiency	33927004	Gonadotrophin deficiency	94
159	320360	MT-ATP6-related mitochondrial spastic paraplegia	Maternally-inherited spastic paraplegia	778048001	Maternally-inherited spastic paraplegia	100
161	209370	Severe neonatal-onset encephalopathy with microcephaly	Severe congenital encephalopathy due to MECP2 mutation	771303004	Severe congenital encephalopathy due to MECP2 mutation	100
163	314632	ATP13A2-related juvenile neuronal ceroid lipofuscinosis	Juvenile parkinsonism-neuronal ceroid lipofuscinosis	61663001	Juvenile neuronal ceroid lipofuscinosis	86
167	363618	LMNA-related cardiocutaneous progeria syndrome	LMNA-related cardiocutaneous progeria syndrome	773426004	LMNA-related cardiocutaneous progeria syndrome	100
169	438117	Steel syndrome	Steel syndrome	22567005	SED syndrome	85
170	314802	Short stature due to partial GHR deficiency	Short stature due to partial growth hormone receptor deficiency	783098009	Short stature due to partial growth hormone receptor deficiency	100
171	220295	Xeroderma pigmentosum-Cockayne syndrome complex	Xeroderma pigmentosum-Cockayne syndrome complex	719819004	Xeroderma pigmentosum and Cockayne syndrome complex	96
174	331235	Selective IgM deficiency	Selective immunoglobulin M deficiency	190980000	Selective immunoglobulin M deficiency	100
178	319595	Mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency	Mendelian susceptibility to mycobacterial diseases due to partial signal transducer and activator of transcription 1 deficiency	723386002	Mendelian susceptibility to mycobacterial disease due to partial signal transducer and activator of transcription 1 deficiency	100
181	319581	Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency	Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial interferon gamma receptor 1 deficiency	725150008	Autosomal dominant mendelian susceptibility to mycobacterial disease due to partial interferon gamma receptor 1 deficiency	100
186	412217	Dystonia-aphonia syndrome	Dystonia-aphonia syndrome	782718007	Dystonia aphonia syndrome	100
192	363478	Paratesticular adenocarcinoma	Paratesticular adenocarcinoma	783056006	Paratesticular adenocarcinoma	100
196	319589	Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency	Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial interferon gamma receptor 2 deficiency	725151007	Autosomal dominant mendelian susceptibility to mycobacterial disease due to partial interferon gamma receptor 2 deficiency	100
197	183663	Hyper-IgM syndrome with susceptibility to opportunistic infections	Hyper-IgM syndrome with susceptibility to opportunistic infections	783248004	Hyper-IgM syndrome with susceptibility to opportunistic infections	100
198	1460	Isolated complex III deficiency	Isolated CoQ-cytochrome C reductase deficiency	29914000	Cytochrome b>5< reductase deficiency	81
200	85408	Rheumatoid factor-negative juvenile idiopathic arthritis	Rheumatoid factor-negative juvenile idiopathic arthritis	410797009	Juvenile idiopathic arthritis, polyarthritis, rheumatoid factor negative	89
203	263458	Hyperinsulinism due to INSR deficiency	Hyperinsulinism due to INSR deficiency	721834007	Hyperinsulinism due to UCP2 deficiency	87
207	213741	Adenoid cystic carcinoma of the corpus uteri	Endometrial adenoid cystic carcinoma	123845008	Endometrial adenocarcinoma	84
210	226307	Hypothyroidism due to deficient transcription factors involved in pituitary development or function	Hypothyroidism due to deficient transcription factors involved in pituitary development or function	718194004	Hypothyroidism due to mutation in transcription factor of pituitary development	81
212	734	Alpha delta granule deficiency	Alpha dense granule deficiency	128100009	Mixed alpha granule and dense body deficiency	80
213	140286	Secondary hypoparathyroidism due to impaired parathormon secretion	Secondary hypoparathyroidism due to impaired parathormon secretion	717898002	Hereditary isolated hypoparathyroidism due to impaired parathormone secretion	80
214	424943	Adenocarcinoma of the liver and intrahepatic biliary tract	Adenocarcinoma of the liver and intrahepatic biliary tract	787091002	Adenocarcinoma of liver and intrahepatic biliary tract	96
215	436151	Intellectual disability-expressive aphasia-facial dysmorphism syndrome	Intellectual disability-expressive aphasia-facial dysmorphism syndrome	773416006	Intellectual disability, facial dysmorphism, hand anomalies syndrome	81
217	319574	Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency	Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial interferon gamma receptor 2 deficiency	725432008	Autosomal recessive mendelian susceptibility to mycobacterial disease due to partial interferon gamma receptor 2 deficiency	100
218	443950	DNAJB2-related Charcot-Marie-Tooth disease type 2	DNAJB2-related Charcot-Marie-Tooth disease type 2	765047006	SURF1-related Charcot-Marie-Tooth disease type 4	85
221	464440	Primary dystonia, DYT27 type	Primary dystonia, DYT27 type	715777007	Primary dystonia DYT2 type	98
224	90031	Non-spherocytic hemolytic anemia due to hexokinase deficiency	Non-spherocytic hemolytic anemia due to hexokinase deficiency	42484009	Hereditary nonspherocytic hemolytic anemia due to hexokinase deficiency	91
225	424019	Squamous cell carcinoma of the anal canal	Squamous cell carcinoma of the anal canal	722542000	Primary squamous cell carcinoma of anal canal	86
226	435819	Autosomal dominant Charcot-Marie-Tooth disease type 2 due to TFG mutation	Autosomal dominant Charcot-Marie-Tooth disease type 2 due to TFG mutation	765046002	Autosomal dominant Charcot-Marie-Tooth disease type 2 due to MARS mutation	94
229	90157	Drug-induced localized lipodystrophy	Lipoatrophy caused by injected drug	403661001	Lipoatrophy caused by injected drug	100
235	276598	Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency	Hyperinsulinemic hypoglycemia due to SUR1 deficiency, diazoxide-resistant focal form	783740007	Hyperinsulinemic hypoglycemia due to SUR1 deficiency, diazoxide-resistant focal form	100
237	238688	Neonatal iodine exposure	Neonatal iodine exposure	773987000	Neonatal iodine exposure	100
238	319558	Mendelian susceptibility to mycobacterial diseases due to complete IL12B deficiency	Mendelian susceptibility to mycobacterial diseases due to complete IL12B deficiency	721877008	Mendelian susceptibility to mycobacterial disease due to complete IL12B deficiency	99
239	363654	X-linked parkinsonism-spasticity syndrome	X-linked parkinsonism-spasticity syndrome	770757004	X-linked parkinsonism with spasticity syndrome	94
241	1933	Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria	Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria	765401006	Mitochondrial DNA depletion syndrome encephalomyopathic form	81
242	168621	Dysplasia of head of femur, Meyer type	Dysplasia of head of femur, Meyer type	715861004	Dysplasia of head of femur Meyer type	100
247	356961	SLC35A2-CDG	Congenital disorder of glycosylation type 2m	771516000	Congenital disorder of glycosylation type 2m	100
248	284400	Small cell carcinoma of the bladder	Small cell carcinoma of the urinary bladder	91141000119100	Primary spindle cell carcinoma of urinary bladder	83
258	1865	Dyssegmental dysplasia, Silverman-Handmaker type	Dyssegmental dysplasia, Silverman-Handmaker type	765204000	Dyssegmental dysplasia Silverman Handmaker type	100
259	424039	Squamous cell carcinoma of pancreas	Squamous cell carcinoma of pancreas	770602005	Squamous cell carcinoma of exocrine pancreas	89
262	83482	Mycoplasma encephalitis	Mycoplasma encephalitis	764993001	Mycoplasma pneumoniae encephalitis	81
264	352563	Infantile hypertrophic cardiomyopathy due to MRPL44 deficiency	Combined oxidative phosphorylation defect type 16	771513008	Combined oxidative phosphorylation defect type 16	100
265	289347	Infective dermatitis associated with HTLV-1	Infective dermatitis associated with HTLV-1	716790008	Infective dermatitis associated with HTLV-1 infection	90
269	329324	Inverse Klippel-Trenaunay syndrome	Inverse Klippel-Trenaunay syndrome	59078009	Klippel-Trenaunay-Weber syndrome (disorder)	80
271	226313	Congenital hypothyroidism due to maternal intake of antithyroid drugs	Congenital hypothyroidism due to maternal intake of antithyroid drugs	783177006	Congenital hypothyroidism due to maternal intake of antithyroid drug	99
273	435651	CIDEC-related familial partial lipodystrophy	CIDEC-related familial partial lipodystrophy	783616005	PLIN1-related familial partial lipodystrophy	86
274	329217	Cerebral sinovenous thrombosis	Cerebral sinovenous thrombosis	722930000	Neonatal cerebral sinovenous thrombosis	87
277	289548	Inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency	Inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency	764960005	Inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency	100
279	140966	Palmoplantar keratoderma, Nagashima type	Palmoplantar keratoderma, Nagashima type	722205008	Palmoplantar keratoderma Nagashima type	100
280	90030	Hemolytic anemia due to glutathione reductase deficiency	Hemolytic anemia due to glutathione reductase deficiency	52212006	Hereditary nonspherocytic hemolytic anemia due to glutathione reductase deficiency	81
281	319487	Familial papillary or follicular thyroid carcinoma	Familial pure nonmedullary thyroid carcinoma	786038001	Familial nonmedullary thyroid carcinoma	94
282	309111	Combined pancreatic lipase-colipase deficiency	Combined pancreatic lipase-colipase deficiency	69478001	Pancreatic colipase deficiency (disorder)	80
284	300570	Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation	Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation	784344009	Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation	100
289	324525	Hypertrophic cardiomyopathy and renal tubular disease due to mitochondrial DNA mutation	Hypertrophic cardiomyopathy and renal tubular disease due to mitochondrial DNA mutation	771509001	Hypertrophic cardiomyopathy and renal tubular disease due to mitochondrial DNA mutation	100
291	319563	Mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency	Mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency	723384004	Mendelian susceptibility to mycobacterial disease due to complete ISG15 deficiency	99
294	319195	Chondroectodermal dysplasia with night blindness	Chondroectodermal dysplasia with night blindness	763134002	Chondroectodermal dysplasia with night blindness syndrome	91
297	95427	Secondary short bowel syndrome	Secondary short bowel syndrome	26629001	Short bowel syndrome (disorder)	85
302	458803	Spinocerebellar ataxia type 42	Spinocerebellar ataxia type 42	734020000	Spinocerebellar ataxia type 40	97
304	464370	Neonatal alloimmune neutropenia	Neonatal alloimmune neutropenia	14333004	Alloimmune neonatal neutropenia	100
315	238305	Infundibulo-neurohypophysitis	Infundibulo-neurohypophysitis	783158009	Infundibulo neurohypophysitis	100
318	183666	Hyper-IgM syndrome without susceptibility to opportunistic infections	Hyper-IgM syndrome without susceptibility to opportunistic infections	783249007	Hyper-IgM syndrome without susceptibility to opportunistic infections	100
319	90158	Idiopathic localized lipodystrophy	Idiopathic localized lipodystrophy	238897006	Localized idiopathic lipoatrophy	94
321	319547	Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR2 deficiency	Mendelian susceptibility to mycobacterial diseases due to complete interferon gamma receptor 2 deficiency	721876004	Mendelian susceptibility to mycobacterial disease due to complete interferon gamma receptor 2 deficiency	100
325	370059	NEVADA syndrome	NEVADA syndrome	770941005	ANE syndrome	81
326	90159	Panniculitis-induced localized lipodystrophy	Panniculitis-induced localized lipodystrophy	783014007	Panniculitis induced localized lipodystrophy	100
327	93552	Pediatric systemic lupus erythematosus	Pediatric systemic lupus erythematosus	55464009	SLE - Systemic lupus erythematosus	86
328	99889	Cushing syndrome due to ectopic ACTH secretion	Occult ectopic ACTH secretion	237829004	Ectopic ACTH secretion	86
331	228003	Severe combined immunodeficiency due to CORO1A deficiency	Severe combined immunodeficiency due to coronin-1A deficiency	765145001	T-B+ severe combined immunodeficiency due to gamma chain deficiency	82
332	324632	Hendra virus infection	Hendra virus infection	773582002	Hendra virus infection	100
333	171706	Short stature-delayed bone age due to thyroid hormone metabolism deficiency	Short stature-delayed bone age due to thyroid hormone metabolism deficiency	763890006	Short stature with delayed bone age due to thyroid hormone metabolism deficiency	97
334	443236	Postural orthostatic tachycardia syndrome due to NET deficiency	Postural orthostatic tachycardia syndrome due to NET deficiency	371073003	Postural orthostatic tachycardia syndrome (disorder)	81
338	464443	COG6-CGD	Congenital disorder of glycosylation type IIL	720978005	Congenital disorder of glycosylation type IL	99
340	352447	Progressive external ophthalmoplegia-myopathy-emaciation syndrome	Progressive external ophthalmoplegia-myopathy-emaciation syndrome	764733009	Progressive external ophthalmoplegia, myopathy, emaciation syndrome	100
341	225147	Sporadic infantile bilateral striatal necrosis	Sporadic infantile striatonigral degeneration	718174008	Infantile striatonigral degeneration	89
343	35078	T-B+ severe combined immunodeficiency due to JAK3 deficiency	T-B+ severe combined immunodeficiency due to JAK3 deficiency	765145001	T-B+ severe combined immunodeficiency due to gamma chain deficiency	86
344	85172	Microcephalic osteodysplastic dysplasia, Saul-Wilson type	Microcephalic osteodysplastic dysplasia, Saul-Wilson type	723404002	Microcephalic osteodysplastic dysplasia Saul Wilson type	100
350	231242	Hemoglobin C-beta-thalassemia syndrome	C-beta-thalassemia	65959000	Beta thalassemia	94
356	79085	AKT2-related familial partial lipodystrophy	AKT2-related familial partial lipodystrophy	715439000	Familial partial lipodystrophy type 2	88
357	448010	CAD-CDG	Carbohydrate deficient glycoprotein syndrome type Iz	277893002	Carbohydrate-deficient glycoprotein syndrome type I	99
359	168448	Spondyloepimetaphyseal dysplasia, Bieganski type	Spondyloepimetaphyseal dysplasia, Bieganski type	773301007	Spondyloepimetaphyseal dysplasia Bieganski type	100
360	324294	T-cell immunodeficiency with epidermodysplasia verruciformis	T-cell immunodeficiency due to RHOH deficiency	770785002	T-cell immunodeficiency due to RHOH deficiency	100
361	435998	Autosomal recessive intermediate Charcot-Marie-Tooth disease type D	Autosomal recessive intermediate Charcot-Marie-Tooth disease type D	773414009	Autosomal recessive intermediate Charcot-Marie-Tooth disease type C	97
367	88635	Vacuolar myopathy with sarcoplasmic reticulum protein aggregates	Myopathy due to calsequestrin and SERCA1 protein overload	724095006	Myopathy due to calsequestrin and SERCA1 protein overload	100
368	284282	Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to WWOX deficiency	Autosomal recessive spinocerebellar ataxia type 12	770898002	Autosomal recessive spinocerebellar ataxia type 12	100
374	435387	Autosomal dominant Charcot-Marie-Tooth disease type 2Y	Autosomal dominant Charcot-Marie-Tooth disease type 2Y	719514002	Autosomal dominant Charcot-Marie-Tooth disease type 2M	98
380	90791	Congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency	CAH due to 3-beta-hydroxysteroid dehydrogenase deficiency	124136000	Deficiency of 3beta-hydroxysteroid dehydrogenase	90
383	280142	Severe combined immunodeficiency due to LCK deficiency	Severe combined immunodeficiency due to lymphocyte-specific protein tyrosine kinase deficiency	783617001	Severe combined immunodeficiency due to lymphocyte-specific protein-tyrosine kinase deficiency	100
384	91350	Pituitary deficiency due to Rathke's cleft cysts	Pituitary deficiency due to Rathke's cleft cysts	783009008	Pituitary deficiency due to Rathke's cleft cysts	100
385	99657	Primary dystonia, DYT2 type	Primary dystonia, DYT2 type	715777007	Primary dystonia DYT2 type	100
389	459051	Spondyloepiphyseal dysplasia, Stanescu type	Spondyloepiphyseal dysplasia, Stanescu type	719202006	Spondyloepiphyseal dysplasia tarda Kohn type	84
390	70578	Adult acute respiratory distress syndrome	Adult acute respiratory distress syndrome	67782005	Acute respiratory distress syndrome	92
392	435660	LIPE-related familial partial lipodystrophy	LIPE-related familial partial lipodystrophy	783616005	PLIN1-related familial partial lipodystrophy	87
397	300751	Familial dilated cardiomyopathy with conduction defect due to LMNA mutation	Familial dilated cardiomyopathy with conduction defect due to LMNA mutation	766883006	Familial dilated cardiomyopathy with conduction defect due to LMNA mutation	100
400	89838	Epidermolysis bullosa simplex, autosomal recessive K14	Epidermolysis bullosa simplex, autosomal recessive K14	254183000	Lethal autosomal recessive epidermolysis bullosa simplex	92
403	329466	Autosomal dominant focal dystonia, DYT25 type	Autosomal dominant focal dystonia, DYT25 type	719516000	Autosomal dominant focal dystonia DYT25 type	100
404	424991	Adenocarcinoma of the gallbladder and extrahepatic biliary tract	Adenocarcinoma of the gallbladder and extrahepatic biliary tract	765741003	Adenocarcinoma of gallbladder and extrahepatic biliary tract	97
413	319600	Mendelian susceptibility to mycobacterial diseases due to partial IRF8 deficiency	Mendelian susceptibility to mycobacterial diseases due to partial interferon regulatory factor 8 deficiency	723385003	Mendelian susceptibility to mycobacterial disease due to partial interferon regulatory factor 8 deficiency	100
425	314381	Hereditary sensory and autonomic neuropathy type 6	Hereditary sensory and autonomic neuropathy type VI	128206006	Hereditary sensory and autonomic neuropathy type V	99
426	217390	Combined immunodeficiency due to DOCK8 deficiency	Combined immunodeficiency due to DOCK8 deficiency	783617001	Severe combined immunodeficiency due to LCK deficiency	83
428	331190	Immunodeficiency due to ficolin3 deficiency	Immunodeficiency due to ficolin3 deficiency	771078002	Immunodeficiency due to MASP-2 deficiency	81
429	442582	AH amyloidosis	AH amyloidosis	23132008	AL amyloidosis	93
430	306734	Primary dystonia, DYT21 type	Primary dystonia, DYT21 type	716664003	Primary dystonia DYT21 type	100
440	300359	PLCG2-associated antibody deficiency and immune dysregulation	Familial cold urticaria with common variable immunodeficiency	773646003	Familial cold urticaria with common variable immunodeficiency	100
441	293165	Skin fragility-woolly hair-palmoplantar keratoderma syndrome	Skin fragility-woolly hair-palmoplantar keratoderma syndrome	778010006	Skin fragility, wooly hair, palmoplantar keratoderma syndrome	99
442	79409	Recessive dystrophic epidermolysis bullosa inversa	Dystrophic epidermolysis bullosa inversa	403809003	Dystrophic epidermolysis bullosa inverse type	92
443	93279	Mild spondyloepiphyseal dysplasia due to COL2A1 mutation with early-onset osteoarthritis	Mild spondyloepiphyseal dysplasia due to COL2A1 mutation with early-onset osteoarthritis	715670004	Mild spondyloepiphyseal dysplasia due to COL2A1 mutation with early onset osteoarthritis	100
446	247378	Autosomal recessive secondary polycythemia not associated with VHL gene	Autosomal recessive secondary polycythemia, non-Chuvash type	783766005	Autosomal recessive secondary polycythemia non-Chuvash type	100
453	370103	Primary dystonia, DYT17 type	Primary dystonia, DYT17 type	782695002	Primary dystonia DYT17 type	100
454	319552	Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency	Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency	721877008	Mendelian susceptibility to mycobacterial disease due to complete IL12B deficiency	98
460	284271	Autosomal recessive cerebellar ataxia-psychomotor delay syndrome	Autosomal recessive spinocerebellar ataxia type 11	783060009	Autosomal recessive spinocerebellar ataxia type 11	100
462	213726	Papillary carcinoma of the corpus uteri	Endometrial capillary carcinoma	254878006	Endometrial carcinoma	81
463	459056	Autosomal recessive spastic paraplegia type 75	Autosomal recessive spastic paraplegia type 75	763373005	Autosomal recessive spastic paraplegia type 5A	98
464	75249	Familial isolated restrictive cardiomyopathy	Familial isolated restrictive cardiomyopathy	233878008	Familial restrictive cardiomyopathy	89
470	1084	Isolated lissencephaly type 1 without known genetic defects	Isolated lissencephaly type 1 without known genetic defects	715406003	Isolated lissencephaly type 1 without known genetic defect	99
472	404493	Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to TUD deficiency	Spinocerebellar ataxia autosomal recessive type 23	770898002	Autosomal recessive spinocerebellar ataxia type 12	98
473	169150	Immunodeficiency due to a late component of complement deficiency	Terminal complement pathway deficiency	234608003	Terminal component deficiency	81
475	397787	Severe combined immunodeficiency due to IKK2 deficiency	Severe combined immunodeficiency due to IKK2 deficiency	765145001	T-B+ severe combined immunodeficiency due to gamma chain deficiency	84
477	300382	Progeroid and marfanoid aspect-lipodystrophy syndrome	Progeroid and marfanoid aspect-lipodystrophy syndrome	773644000	Progeroid and marfanoid aspect, lipodystrophy syndrome	100
482	166105	FASTKD2-related infantile mitochondrial encephalomyopathy	FASTKD2-related infantile mitochondrial encephalomyopathy	778029000	FASTKD2-related infantile mitochondrial encephalomyopathy	100
485	319605	X-linked mendelian susceptibility to mycobacterial diseases	X-linked mendelian susceptibility to mycobacterial diseases	719814009	X-linked mendelian susceptibility to mycobacterial disease	99
490	213817	Papillary carcinoma of the cervix uteri	Papillary carcinoma of the cervix uteri	184781000119102	Primary adenocarcinoma of cervix uteri	81
493	369861	Congenital sideroblastic anemia-B-cell immunodeficiency-periodic fever-developmental delay syndrome	Congenital sideroblastic anemia-B-cell immunodeficiency-periodic fever-developmental delay syndrome	765327005	Congenital sideroblastic anemia, B-cell immunodeficiency, periodic fever, developmental delay syndrome	100
499	420492	Adult-onset cervical dystonia, DYT23 type	Dystonia 23	783242003	Dystonia 23	100
500	213605	Carcinofibroma of the corpus uteri	Carcinofibroma of the corpus uteri	764952009	Carcinosarcoma of corpus uteri	84
501	456318	Hereditary sensory neuropathy-deafness-dementia syndrome	HSAN1E	128205005	HSAN	80
