	ORDO-ID	Concept	Mapped_Term	SNOMED_ID	SNOMED_Term	ORDO_ID
153	431272	X-linked scapuloperoneal muscular dystrophy	X-linked scapuloperoneal muscular dystrophy	784352007	X-linked scapuloperoneal muscular dystrophy (disorder)	
154	1221	Cheilitis glandularis	Cheilitis glandularis	26374003	Cheilitis glandularis (disorder)	
155	324648	Invasive non-typhoidal salmonellosis	Invasive non-typhoidal salmonellosis	763772002	Invasive non-typhoidal salmonellosis (disorder)	
156	56	Alkaptonuria	Alkaptonuria	360381004	Alkaptonuria (disorder)	
157	251295	Pigmented paravenous retinochoroidal atrophy	Pigmented paravenous retinochoroidal atrophy	723450004	Pigmented paravenous retinochoroidal atrophy (disorder)	
158	511	Maple syrup urine disease	Maple syrup urine disease	27718001	Maple syrup urine disease (disorder)	
159	98833	Acute myeloblastic leukemia without maturation	Acute myeloblastic leukemia without maturation	285766002	Acute myeloblastic leukemia without maturation (disorder)	
160	293955	Childhood encephalopathy due to thiamine pyrophosphokinase deficiency	Childhood encephalopathy due to thiamine pyrophosphokinase deficiency	773668008	Childhood encephalopathy due to thiamine pyrophosphokinase deficiency (disorder)	
161	519930	Fungal keratitis	Fungal keratitis	314558005	Fungal keratitis (disorder)	
162	306431	Adult-onset immunodeficiency with anti-interferon-gamma autoantibodies	Adult-onset immunodeficiency with anti-interferon-gamma autoantibodies	784393004	Adult-onset immunodeficiency with anti-interferon-gamma autoantibodies (disorder)	
163	99900	Long chain acyl-CoA dehydrogenase deficiency	Long chain acyl-CoA dehydrogenase deficiency	237996001	Long chain acyl-CoA dehydrogenase deficiency (disorder)	
164	90001	X-linked cone dysfunction syndrome with myopia	X-linked cone dysfunction syndrome with myopia	718718009	X-linked cone dysfunction syndrome with myopia (disorder)	
165	35125	Epidermal nevus syndrome	Epidermal nevus syndrome	239112008	Epidermal nevus syndrome (disorder)	
166	397593	Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency	Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency	773423007	Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency (disorder)	
167	352731	Oculocutaneous albinism type 1	Oculocutaneous albinism type 1	765146000	Oculocutaneous albinism type 1 (disorder)	
168	99879	Familial isolated hyperparathyroidism	Familial isolated hyperparathyroidism	786037006	Familial isolated hyperparathyroidism (disorder)	
169	252206	Melanoma and neural system tumor syndrome	Melanoma and neural system tumor syndrome	717968005	Melanoma and neural system tumor syndrome (disorder)	
170	796	Sandhoff disease	Sandhoff disease	23849003	Sandhoff disease (disorder)	
171	1659	Dermatoleukodystrophy	Dermatoleukodystrophy	733044009	Dermatoleukodystrophy (disorder)	
172	458763	Retiform hemangioendothelioma	Retiform hemangioendothelioma	403982005	Retiform hemangioendothelioma (disorder)	
173	319640	Retinal macular dystrophy type 2	Retinal macular dystrophy type 2	770594005	Retinal macular dystrophy type 2 (disorder)	
174	131	Budd-Chiari syndrome	Budd-Chiari syndrome	82385007	Budd-Chiari syndrome (disorder)	
175	402082	Progressive myoclonic epilepsy type 5	Progressive myoclonic epilepsy type 5	783055005	Progressive myoclonic epilepsy type 5 (disorder)	
176	29207	Reactive arthritis	Reactive arthritis	239784007	Reactive arthritis (disorder)	
177	2897	Pityriasis rubra pilaris	Pityriasis rubra pilaris	3755001	Pityriasis rubra pilaris (disorder)	
178	18	Distal renal tubular acidosis	Distal renal tubular acidosis	236461000	Distal renal tubular acidosis (disorder)	
179	63273	Distal myopathy with posterior leg and anterior hand involvement	Distal myopathy with posterior leg and anterior hand involvement	733489002	Distal myopathy with posterior leg and anterior hand involvement (disorder)	
180	293812	Fixed drug eruption	Fixed drug eruption	73692007	Fixed drug eruption (disorder)	
181	228240	Elastoderma	Elastoderma	238832003	Elastoderma (disorder)	
182	401805	Autosomal recessive spastic paraplegia type 63	Autosomal recessive spastic paraplegia type 63	726610000	Autosomal recessive spastic paraplegia type 63 (disorder)	
183	254854	Pure mitochondrial myopathy	Pure mitochondrial myopathy	732245008	Pure mitochondrial myopathy (disorder)	
184	423786	Undifferentiated carcinoma of stomach	Undifferentiated carcinoma of stomach	766757006	Undifferentiated carcinoma of stomach (disorder)	
185	228157	Marburg acute multiple sclerosis	Marburg acute multiple sclerosis	766246000	Marburg acute multiple sclerosis (disorder)	
186	139455	Autosomal recessive bestrophinopathy	Autosomal recessive bestrophinopathy	723828008	Autosomal recessive bestrophinopathy (disorder)	
187	141112	Nasal glial heterotopia	Nasal glial heterotopia	5645008	Nasal glial heterotopia (disorder)	
188	306577	Sodium channelopathy-related small fiber neuropathy	Sodium channelopathy-related small fiber neuropathy	782824007	Sodium channelopathy-related small fiber neuropathy (disorder)	
189	668	Osteosarcoma	Osteosarcoma	189878003	Osteosarcoma (disorder)	
190	86816	Congenital analbuminemia	Congenital analbuminemia	718721006	Congenital analbuminemia (disorder)	
191	401866	Childhood-onset spasticity with hyperglycinemia	Childhood-onset spasticity with hyperglycinemia	773492007	Childhood-onset spasticity with hyperglycinemia (disorder)	
192	263534	Acral peeling skin syndrome	Acral peeling skin syndrome	709416009	Acral peeling skin syndrome (disorder)	
193	398109	Neonatal autoimmune hemolytic anemia	Neonatal autoimmune hemolytic anemia	774083009	Neonatal autoimmune hemolytic anemia (disorder)	
194	98842	Lymphomatoid papulosis	Lymphomatoid papulosis	31047003	Lymphomatoid papulosis (disorder)	
195	79502	Punctate palmoplantar keratoderma type 2	Punctate palmoplantar keratoderma type 2	765096001	Punctate palmoplantar keratoderma type 2 (disorder)	
196	101112	Spinocerebellar ataxia type 26	Spinocerebellar ataxia type 26	718769009	Spinocerebellar ataxia type 26 (disorder)	
197	97279	Insulinoma	Insulinoma	302822000	Insulinoma (disorder)	
198	98852	Desquamative interstitial pneumonia	Desquamative interstitial pneumonia	8549006	Desquamative interstitial pneumonia (disorder)	
199	98826	Refractory anemia	Refractory anemia	123306007	Refractory anemia (disorder)	
200	79150	Linear and whorled nevoid hypermelanosis	Linear and whorled nevoid hypermelanosis	403803002	Linear and whorled nevoid hypermelanosis (disorder)	
201	86900	Interdigitating dendritic cell sarcoma	Interdigitating dendritic cell sarcoma	715664005	Interdigitating dendritic cell sarcoma (disorder)	
202	3325	Heparin-induced thrombocytopenia	Heparin-induced thrombocytopenia	73397007	Heparin-induced thrombocytopenia (disorder)	
203	281090	Syndromic recessive X-linked ichthyosis	Syndromic recessive X-linked ichthyosis	717041008	Syndromic recessive X-linked ichthyosis (disorder)	
204	1764	Familial dysautonomia	Familial dysautonomia	29159009	Familial dysautonomia (disorder)	
205	97231	Ligneous conjunctivitis	Ligneous conjunctivitis	403435005	Ligneous conjunctivitis (disorder)	
206	95717	Idiopathic congenital hypothyroidism	Idiopathic congenital hypothyroidism	717334008	Idiopathic congenital hypothyroidism (disorder)	
207	1216	Autosomal dominant congenital benign spinal muscular atrophy	Autosomal dominant congenital benign spinal muscular atrophy	763067000	Autosomal dominant congenital benign spinal muscular atrophy (disorder)	
208	54028	Plummer-Vinson syndrome	Plummer-Vinson syndrome	80126007	Plummer-Vinson syndrome (disorder)	
209	2238	Familial isolated hypoparathyroidism	Familial isolated hypoparathyroidism	725036000	Familial isolated hypoparathyroidism (disorder)	
210	85110	Familial encephalopathy with neuroserpin inclusion bodies	Familial encephalopathy with neuroserpin inclusion bodies	702421006	Familial encephalopathy with neuroserpin inclusion bodies (disorder)	
211	70588	Meconium aspiration syndrome	Meconium aspiration syndrome	206292002	Meconium aspiration syndrome (disorder)	
212	363412	Hypomyelination with brain stem and spinal cord involvement and leg spasticity	Hypomyelination with brain stem and spinal cord involvement and leg spasticity	777999008	Hypomyelination with brain stem and spinal cord involvement and leg spasticity (disorder)	
213	280921	Idiopathic panuveitis	Idiopathic panuveitis	766933000	Idiopathic panuveitis (disorder)	
214	289601	Hereditary arterial and articular multiple calcification syndrome	Hereditary arterial and articular multiple calcification syndrome	718602007	Hereditary arterial and articular multiple calcification syndrome (disorder)	
215	228247	Acquired pseudoxanthoma elasticum	Acquired pseudoxanthoma elasticum	403401007	Acquired pseudoxanthoma elasticum (disorder)	
216	735	Porokeratosis of Mibelli	Porokeratosis of Mibelli	80432009	Porokeratosis of Mibelli (disorder)	
217	352582	Familial infantile myoclonic epilepsy	Familial infantile myoclonic epilepsy	784342008	Familial infantile myoclonic epilepsy (disorder)	
218	158011	Necrobiotic xanthogranuloma	Necrobiotic xanthogranuloma	404164003	Necrobiotic xanthogranuloma (disorder)	
219	291	Congenital varicella syndrome	Congenital varicella syndrome	277644009	Congenital varicella syndrome (disorder)	
220	35909	Combined deficiency of factor V and factor VIII	Combined deficiency of factor V and factor VIII	715559004	Combined deficiency of factor V and factor VIII (disorder)	
221	247234	Sporadic adult-onset ataxia of unknown etiology	Sporadic adult-onset ataxia of unknown etiology	734023003	Sporadic adult-onset ataxia of unknown etiology (disorder)	
222	64694	Trench fever	Trench fever	82214002	Trench fever (disorder)	
