	ORDO_ID	Concept	Mapped_Term	SNOMED_ID	SNOMED_Term	Score
382	314051	Leukoencephalopathy-thalamus and brainstem anomalies-high lactate syndrome	Combined oxidative phosphorylation defect type 12	763366000	Leukoencephalopathy, thalamus and brainstem anomalies, high lactate syndrome (disorder)	1000
52	313920	Epstein-Barr virus-associated gastric carcinoma	Epstein-Barr virus-associated gastric carcinoma	716586009	Carcinoma of stomach due to Epstein-Barr virus disease (disorder)	1000
233	308425	Methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency	Methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency	765137006	Methylmalonic acidemia due to methylmalonyl-coenzyme A epimerase deficiency (disorder)	1000
107	306741	Hemidystonia-hemiatrophy syndrome	Hemidystonia-hemiatrophy syndrome	724383002	Hemidystonia hemiatrophy syndrome (disorder)	1000
166	306669	Hemiparkinsonism-hemiatrophy syndrome	Hemiparkinsonism-hemiatrophy syndrome	737582007	Hemiparkinsonism hemiatrophy syndrome (disorder)	1000
124	306550	FADD-related immunodeficiency	FADD-related immunodeficiency	723334006	Immunodeficiency due to mutation of FAS-associated protein with death domain gene (disorder)	1000
353	300536	DDOST-CDG	Carbohydrate deficient glycoprotein syndrome type Ir	733083006	Congenital disorder of glycosylation type 1r (disorder)	1000
84	293936	EDICT syndrome	EDICT syndrome	722439009	Endothelial dystrophy, iris hypoplasia, congenital cataract, stromal thinning syndrome (disorder)	1000
19	293375	Grayson-Wilbrandt corneal dystrophy	Grayson-Wilbrandt corneal dystrophy	717286002	Grayson Wilbrandt dystrophy of cornea (disorder)	1000
92	289661	Epstein-Barr virus-positive diffuse large B-cell lymphoma of the elderly	Epstein-Barr virus-positive diffuse large B-cell lymphoma of the elderly	716788007	Epstein-Barr virus positive diffuse large B-cell lymphoma of elderly (disorder)	1000
106	289596	Juvenile nasopharyngeal angiofibroma	Juvenile nasopharyngeal angiofibroma	716590006	Juvenile angiofibroma of nasopharynx (disorder)	1000
337	289560	Mitochondrial membrane protein-associated neurodegeneration	MPAN	709415008	Mitochondrial membrane protein associated neurodegeneration (disorder)	1000
143	289390	Primary Sjogren syndrome	Primary Sjogren syndrome	239912009	Primary Sjögren's syndrome (disorder)	1000
57	282166	Inherited Creutzfeldt-Jakob disease	Inherited Creutzfeldt-Jakob disease	715807002	Familial Creutzfeldt-Jakob (disorder)	1000
115	280333	Autosomal recessive limb-girdle muscular dystrophy type 2P	Autosomal recessive limb-girdle muscular dystrophy type 2P	726614009	Autosomal recessive limb girdle muscular dystrophy type 2P (disorder)	1000
341	280071	ALG11-CDG	Carbohydrate deficient glycoprotein syndrome type Ip	733085004	Congenital disorder of glycosylation type 1p (disorder)	1000
49	279922	Infectious anterior uveitis	Infectious anterior uveitis	89114005	Infectious secondary iridocyclitis (disorder)	1000
132	276608	Adult-onset non-insulinoma persistent hyperinsulinemic hypoglycemia	Adult-onset non-insulinoma persistent hyperinsulinemic hypoglycemia	717044000	Adult onset non-insulinoma persistent hyperinsulinemic hypoglycemia (disorder)	1000
163	276575	Autosomal dominant hyperinsulinism due to SUR1 deficiency	Autosomal dominant hyperinsulinism due to SUR1 deficiency	717046003	Autosomal dominant hyperinsulinism due to sulfonylurea receptor 1 deficiency (disorder)	1000
109	276556	Hyperinsulinism due to UCP2 deficiency	Hyperinsulinism due to UCP2 deficiency	721834007	Hyperinsulinism due to uncoupling protein 2 deficiency (disorder)	1000
138	276402	Limbic encephalitis with caspr2 antibodies	Limbic encephalitis with caspr2 antibodies	763793004	Limbic encephalitis with contactin-associated protein-like 2 antibodies (disorder)	1000
392	275517	Autoimmune lymphoproliferative syndrome with recurrent viral infections	Caspase 8 deficiency syndrome	722290008	Autoimmune lymphoproliferative syndrome with recurrent viral infection (disorder)	1000
140	268249	Mycophenolate mofetil embryopathy	Mycophenolate mofetil embryopathy	723406000	Embryopathy caused by mycophenolate mofetil (disorder)	1000
54	263665	NK-cell enteropathy	NK-cell enteropathy	723496007	Natural killer cell enteropathy (disorder)	1000
364	263501	COG4-CDG	Carbohydrate deficient glycoprotein syndrome type IIj	718751000	Component of oligomeric golgi complex 4 congenital disorder of glycosylation (disorder)	1000
436	263494	DPM3-CDG	Congenital disorder of glycosylation type 1o	725044000	Carbohydrate deficient glycoprotein syndrome type 1o (disorder)	1000
261	263487	COG5-CDG	CDG2I	721100009	Component of oligomeric golgi complex 5 congenital disorder of glycosylation (disorder)	1000
1	263455	Hyperinsulinism due to HNF4A deficiency	Hyperinsulinism due to HNF4A deficiency	717048002	Hyperinsulinism due to hepatocyte nuclear factor 4-alpha deficiency (disorder)	1000
297	261476	Xp21 microdeletion syndrome	Glycerol kinase deficiency-contiguous gene syndrome	297257004	Glycerol kinase deficiency - contiguous gene syndrome (disorder)	1000
246	254881	Spinocerebellar ataxia with epilepsy	Spinocerebellar ataxia with epilepsy	699328003	Myoclonic epilepsy myopathy sensory ataxia (disorder)	1000
131	254361	Autosomal recessive limb-girdle muscular dystrophy type 2Q	Autosomal recessive limb-girdle muscular dystrophy type 2Q	726615005	Autosomal recessive limb girdle muscular dystrophy type 2Q (disorder)	1000
250	252164	Benign schwannoma	Benign schwannoma	985004	Schwannoma (morphologic abnormality)	1000
300	252050	Primary melanoma of the central nervous system	Malignant melanoma of meninges	277530005	Malignant melanoma of meninges (disorder)	1000
322	251975	Rosette-forming glioneuronal tumor	RGNT	733906003	Rosette-forming glioneuronal neoplasm (morphologic abnormality)	1000
102	251937	Gangliocytoma	Gangliocytoma	128919000	Gangliocytoma (morphologic abnormality)	1000
62	251274	Familial hyperaldosteronism type III	Familial hyperaldosteronism type III	703234002	Familial hyperaldosteronism type 3 (disorder)	1000
410	250977	AICA-ribosiduria	5-amino-4-imidazole carboxamide ribosiduria	725289009	5-amino-4-imidazole carboxamide ribosiduria (disorder)	1000
184	247525	Citrullinemia type I	Citrullinemia type I	398680004	Citrullinemia (disorder)	1000
289	238670	Isolated thyrotropin-releasing hormone deficiency	Isolated thyroliberin deficiency	10736002	Isolated thyroliberin deficiency (disorder)	1000
398	238593	IgG4-related mesenteritis	Sclerosing mesenteritis	86422009	Retractile mesenteritis (disorder)	1000
103	231393	Beta-thalassemia-X-linked thrombocytopenia syndrome	Beta-thalassemia-X-linked thrombocytopenia syndrome	718196002	Beta thalassemia X-linked thrombocytopenia syndrome (disorder)	1000
249	231154	Combined immunodeficiency due to partial RAG1 deficiency	Combined immunodeficiency due to partial RAG1 deficiency	725290000	Combined immunodeficiency due to partial recombination-activating gene 1 deficiency (disorder)	1000
202	228379	Virus-associated trichodysplasia spinulosa	Virus-associated trichodysplasia spinulosa	723544007	Trichodysplasia spinulosa caused by Polyomavirus (disorder)	1000
336	228277	Familial anetoderma	Hereditary macular atrophy	733467001	Hereditary anetoderma (disorder)	1000
269	228264	Papular elastorrhexis	Eruptive collagenoma	239138008	Eruptive collagenoma (disorder)	1000
271	228254	Elastoma	Nevus elasticus	239140003	Nevus elasticus (disorder)	1000
55	228243	Elastofibroma dorsi	Elastofibroma dorsi	9671003	Elastofibroma (morphologic abnormality)	1000
27	228116	Hughes-Stovin syndrome	Hughes-Stovin syndrome	721226005	Hughes Stovin syndrome (disorder)	1000
359	227990	Autoimmune polyendocrinopathy type 4	Autoimmune polyendocrine syndrome type 4	449730005	Autoimmune polyendocrine syndrome type 4 (disorder)	1000
406	227982	Autoimmune polyendocrinopathy type 3	Autoimmune polyendocrine syndrome type 3	449731009	Autoimmune polyendocrine syndrome type 3 (disorder)	1000
296	217253	Limbic encephalitis with NMDA receptor antibodies	Limbic encephalitis with N-methyl-D-aspartate receptor antibodies	716684004	Limbic encephalitis with N-methyl-D-aspartate receptor antibodies (disorder)	1000
349	213828	Adenoid basal carcinoma of the cervix uteri	Cervical adenoid basal carcinoma	763063001	Adenoid basal carcinoma of cervix uteri (disorder)	1000
145	213823	Adenoid cystic carcinoma of the cervix uteri	Adenoid cystic carcinoma of the cervix uteri	763064007	Adenoid cystic carcinoma of cervix uteri (disorder)	1000
320	213807	Leiomyosarcoma of the cervix uteri	Cervical leiomyosarcoma	763771009	Leiomyosarcoma of cervix uteri (disorder)	1000
374	213802	Rhabdomyosarcoma of the cervix uteri	Cervical rhabdomyosarcoma	763408003	Rhabdomyosarcoma of cervix uteri (disorder)	1000
317	213792	Adenosarcoma of the cervix uteri	Cervical adenosarcoma	764847000	Adenosarcoma of cervix uteri (disorder)	1000
291	213787	Carcinosarcoma of the cervix uteri	Cervical carcinosarcoma	764951002	Carcinosarcoma of cervix uteri (disorder)	1000
287	213721	Undifferentiated carcinoma of the corpus uteri	Endometrial undifferentiated carcinoma	733360000	Primary undifferentiated carcinoma of endometrium (disorder)	1000
381	213716	Squamous cell carcinoma of the corpus uteri	Endometrial squamous cell carcinoma	733359005	Primary squamous cell carcinoma of endometrium (disorder)	1000
133	213610	Carcinosarcoma of the corpus uteri	Carcinosarcoma of the corpus uteri	764952009	Carcinosarcoma of corpus uteri (disorder)	1000
104	210576	Congenital temporomandibular joint ankylosis	Congenital temporomandibular joint ankylosis	763215008	Congenital ankylosis of temporomandibular joint (disorder)	1000
90	209908	Childhood apraxia of speech	Childhood apraxia of speech	229703009	Developmental verbal dyspraxia (disorder)	1000
371	209886	Familial juvenile hyperuricemic nephropathy type 1	Familial juvenile gouty nephropathy	46785007	Familial juvenile gout (disorder)	1000
148	206994	Bacterial myositis	Bacterial myositis	30330001	Purulent myositis (disorder)	1000
279	206594	Subacute inflammatory demyelinating polyneuropathy	Subacute inflammatory demyelinating polyradiculoneuropathy	277189006	Subacute inflammatory demyelinating polyradiculoneuropathy (disorder)	1000
324	206572	Overlap myositis	Non-specific myositis	26889001	Myositis (disorder)	1000
11	206564	Autosomal recessive limb-girdle muscular dystrophy type 2O	Autosomal recessive limb-girdle muscular dystrophy type 2O	725043006	Autosomal recessive limb girdle muscular dystrophy type 2O (disorder)	1000
141	206559	Autosomal recessive limb-girdle muscular dystrophy type 2N	Autosomal recessive limb-girdle muscular dystrophy type 2N	726617002	Autosomal recessive limb girdle muscular dystrophy type 2N (disorder)	1000
242	206554	Autosomal recessive limb-girdle muscular dystrophy type 2M	Autosomal recessive limb-girdle muscular dystrophy type 2M	726618007	Autosomal recessive limb girdle muscular dystrophy type 2M (disorder)	1000
214	206549	Autosomal recessive limb-girdle muscular dystrophy type 2L	Autosomal recessive limb-girdle muscular dystrophy type 2L	726616006	Autosomal recessive limb girdle muscular dystrophy type 2L (disorder)	1000
119	206492	Vulvovaginal rhabdomyosarcoma	Vulvovaginal rhabdomyosarcoma	766759009	Rhabdomyosarcoma of vulva and vagina (disorder)	1000
154	206484	Gonadoblastoma	Gonadoblastoma	74751003	Gonadoblastoma (morphologic abnormality)	1000
98	189427	Cushing syndrome due to macronodular adrenal hyperplasia	Cushing syndrome due to macronodular adrenal hyperplasia	720459002	Hypercortisolism due to macronodular adrenal hyperplasia (disorder)	1000
165	178533	Primary cutaneous gamma/delta-positive T-cell lymphoma	Primary cutaneous gamma/delta-positive T-cell lymphoma	733627006	Primary cutaneous gamma-delta-positive T-cell lymphoma (disorder)	1000
326	178528	Primary cutaneous aggressive epidermotropic CD8+ T-cell lymphoma	Berti lymphoma	765136002	Primary cutaneous CD8 positive aggressive epidermotropic cytotoxic T-cell lymphoma (disorder)	1000
210	178333	Aland Islands eye disease	Aland Islands eye disease	725168006	Aland Islands eye disease (disorder)	1000
273	178315	Undifferentiated embryonal sarcoma of the liver	UES	59583009	Embryonal sarcoma (morphologic abnormality)	1000
224	171848	Polyneuropathy-hearing loss-ataxia-retinitis pigmentosa-cataract syndrome	Polyneuropathy-hearing loss-ataxia-retinitis pigmentosa-cataract syndrome	723452007	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, cataract syndrome (disorder)	1000
299	169142	Recurrent infection due to specific granule deficiency	Neutrophil-specific granule deficiency	234588005	Neutrophil secondary granule deficiency (disorder)	1000
46	169095	Alymphoid cystic thymic dysgenesis	Alymphoid cystic thymic dysgenesis	720345008	Severe T-cell immunodeficiency, congenital alopecia, nail dystrophy syndrome (disorder)	1000
34	169090	Combined immunodeficiency due to CRAC channel dysfunction	Combined immunodeficiency due to CRAC channel dysfunction	717811007	Combined immunodeficiency due to calcium release activated calcium channel dysfunction (disorder)	1000
150	169079	Cernunnos-XLF deficiency	Cernunnos-XLF deficiency	720853005	Severe combined immunodeficiency, microcephaly, growth retardation, sensitivity to ionizing radiation syndrome (disorder)	1000
285	168829	Primary peritoneal carcinoma	Serous surface papillary carcinoma	716649003	Extraovarian primary peritoneal carcinoma (disorder)	1000
151	166424	Thinking seizures	Thinking seizures	763622006	Thinking epilepsy (disorder)	1000
216	165994	Pituitary resistance to thyroid hormone	Pituitary resistance to thyroid hormone	360348000	Pituitary thyroid hormone resistance (disorder)	1000
33	165958	Cavitary myiasis	Cavitary myiasis	764811001	Infestation of body cavity caused by fly larvae (disorder)	1000
121	163908	Limbic encephalitis with LGI1 antibodies	Limbic encephalitis with LGI1 antibodies	763794005	Limbic encephalitis with leucine-rich glioma-inactivated 1 antibodies (disorder)	1000
204	163746	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	765325002	Peripheral demyelinating neuropathy, central dysmyelinating leukodystrophy, Waardenburg syndrome, Hirschsprung disease (disorder)	1000
122	163703	Febrile infection-related epilepsy syndrome	Febrile infection-related epilepsy syndrome	725413002	Febrile infection related epilepsy syndrome (disorder)	1000
79	158019	Indeterminate cell histiocytosis	Indeterminate cell histiocytosis	721313009	Indeterminate dendritic cell neoplasm (disorder)	1000
108	158014	Rosai-Dorfman disease	Rosai-Dorfman disease	34287003	Sinus histiocytosis with massive lymphadenopathy (disorder)	1000
278	157991	Generalized eruptive histiocytosis	Generalized eruptive histiocytoma	110980006	Generalized eruptive histiocytoma (disorder)	1000
36	140941	Short stature due to primary acid-labile subunit deficiency	Short stature due to primary acid-labile subunit deficiency	721074002	Short stature due to primary acid labile subunit deficiency (disorder)	1000
